Index,Notes (radial),Notes (scalar),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
0,Db Cb Bb Eb Fb Gb Ab,Cb Db Eb Fb Gb Ab Bb,1BA3468,013568A,7-35,"(0, 0, 0, 0, 0, 0, 0)",2,5,4,3,6,1
1,Db Cb Bb Eb Fb Gb An,Cb Db Eb Fb Gb An Bb,1BA3469,0124679,7-29,"(0, 0, 0, 0, 0, 0, 1)",3,4,4,3,5,2
2,Db Cb Bb Eb Fb Gb A#,Cb Db Eb Fb Gb A# Bb,1BA346A,013568,6-25,"(0, 0, 0, 0, 0, 0, 2)",2,3,3,2,4,1
10,Db Cb Bb Eb Fb Gn Ab,Cb Db Eb Fb Gn Ab Bb,1BA3478,0134689,7-32,"(0, 0, 0, 0, 0, 1, 0)",3,3,5,4,4,2
11,Db Cb Bb Eb Fb Gn An,Cb Db Eb Fb Gn An Bb,1BA3479,0135679,7-28,"(0, 0, 0, 0, 0, 1, 1)",3,4,4,4,3,3
12,Db Cb Bb Eb Fb Gn A#,Cb Db Eb Fb Gn A# Bb,1BA347A,013569,6-28,"(0, 0, 0, 0, 0, 1, 2)",2,2,4,3,2,2
20,Db Cb Bb Eb Fb G# Ab,Cb Db Eb Fb G# Ab Bb,1BA3488,013568,6-25,"(0, 0, 0, 0, 0, 2, 0)",2,3,3,2,4,1
21,Db Cb Bb Eb Fb G# An,Cb Db Eb Fb G# An Bb,1BA3489,0123578,7-14,"(0, 0, 0, 0, 0, 2, 1)",4,4,3,3,5,2
22,Db Cb Bb Eb Fb G# A#,Cb Db Eb Fb G# A# Bb,1BA348A,013568,6-25,"(0, 0, 0, 0, 0, 2, 2)",2,3,3,2,4,1
100,Db Cb Bb Eb Fn Gb Ab,Cb Db Eb Fn Gb Ab Bb,1BA3568,013568A,7-35,"(0, 0, 0, 0, 1, 0, 0)",2,5,4,3,6,1
101,Db Cb Bb Eb Fn Gb An,Cb Db Eb Fn Gb An Bb,1BA3569,0124689,7-30,"(0, 0, 0, 0, 1, 0, 1)",3,4,3,5,4,2
