,Notes,PC Set,Prime Form,Accidents
0,Cb Db Eb Fb Gb Ab Bb,B13468A,013578A,"(-1, -1, -1, -1, -1, -1, -1)"
1,Cb Db Eb Fb Gb Ab Bn,B13468B,0024579,"(-1, -1, -1, -1, -1, -1, 0)"
2,Cb Db Eb Fb Gb Ab B#,B134680,013568A,"(-1, -1, -1, -1, -1, -1, 1)"
3,Cb Db Eb Fb Gb An Bb,B13469A,0124679,"(-1, -1, -1, -1, -1, 0, -1)"
4,Cb Db Eb Fb Gb An Bn,B13469B,0224679,"(-1, -1, -1, -1, -1, 0, 0)"
5,Cb Db Eb Fb Gb An B#,B134690,023578B,"(-1, -1, -1, -1, -1, 0, 1)"
6,Cb Db Eb Fb Gb A# Bb,B1346AA,0013568,"(-1, -1, -1, -1, -1, 1, -1)"
7,Cb Db Eb Fb Gb A# Bn,B1346AB,0113568,"(-1, -1, -1, -1, -1, 1, 0)"
8,Cb Db Eb Fb Gb A# B#,B1346A0,023578A,"(-1, -1, -1, -1, -1, 1, 1)"
9,Cb Db Eb Fb Gn Ab Bb,B13478A,0134689,"(-1, -1, -1, -1, 0, -1, -1)"
10,Cb Db Eb Fb Gn Ab Bn,B13478B,0135589,"(-1, -1, -1, -1, 0, -1, 0)"
11,Cb Db Eb Fb Gn Ab B#,B134780,013569A,"(-1, -1, -1, -1, 0, -1, 1)"
12,Cb Db Eb Fb Gn An Bb,B13479A,0135679,"(-1, -1, -1, -1, 0, 0, -1)"
13,Cb Db Eb Fb Gn An Bn,B13479B,0135579,"(-1, -1, -1, -1, 0, 0, 0)"
14,Cb Db Eb Fb Gn An B#,B134790,013569B,"(-1, -1, -1, -1, 0, 0, 1)"
15,Cb Db Eb Fb Gn A# Bb,B1347AA,0135669,"(-1, -1, -1, -1, 0, 1, -1)"
16,Cb Db Eb Fb Gn A# Bn,B1347AB,0135569,"(-1, -1, -1, -1, 0, 1, 0)"
17,Cb Db Eb Fb Gn A# B#,B1347A0,013568B,"(-1, -1, -1, -1, 0, 1, 1)"
18,Cb Db Eb Fb G# Ab Bb,B13488A,0023578,"(-1, -1, -1, -1, 1, -1, -1)"
19,Cb Db Eb Fb G# Ab Bn,B13488B,0033578,"(-1, -1, -1, -1, 1, -1, 0)"
20,Cb Db Eb Fb G# Ab B#,B134880,004579A,"(-1, -1, -1, -1, 1, -1, 1)"
21,Cb Db Eb Fb G# An Bb,B13489A,0123578,"(-1, -1, -1, -1, 1, 0, -1)"
22,Cb Db Eb Fb G# An Bn,B13489B,0133578,"(-1, -1, -1, -1, 1, 0, 0)"
23,Cb Db Eb Fb G# An B#,B134890,013569A,"(-1, -1, -1, -1, 1, 0, 1)"
24,Cb Db Eb Fb G# A# Bb,B1348AA,0135668,"(-1, -1, -1, -1, 1, 1, -1)"
25,Cb Db Eb Fb G# A# Bn,B1348AB,0135568,"(-1, -1, -1, -1, 1, 1, 0)"
26,Cb Db Eb Fb G# A# B#,B1348A0,013568A,"(-1, -1, -1, -1, 1, 1, 1)"
27,Cb Db Eb Fn Gb Ab Bb,B13568A,013568A,"(-1, -1, -1, 0, -1, -1, -1)"
28,Cb Db Eb Fn Gb Ab Bn,B13568B,0024679,"(-1, -1, -1, 0, -1, -1, 0)"
29,Cb Db Eb Fn Gb Ab B#,B135680,013578A,"(-1, -1, -1, 0, -1, -1, 1)"
30,Cb Db Eb Fn Gb An Bb,B13569A,0124689,"(-1, -1, -1, 0, -1, 0, -1)"
31,Cb Db Eb Fn Gb An Bn,B13569B,0135779,"(-1, -1, -1, 0, -1, 0, 0)"
32,Cb Db Eb Fn Gb An B#,B135690,013578B,"(-1, -1, -1, 0, -1, 0, 1)"
33,Cb Db Eb Fn Gb A# Bb,B1356AA,0013578,"(-1, -1, -1, 0, -1, 1, -1)"
34,Cb Db Eb Fn Gb A# Bn,B1356AB,0113578,"(-1, -1, -1, 0, -1, 1, 0)"
35,Cb Db Eb Fn Gb A# B#,B1356A0,013578A,"(-1, -1, -1, 0, -1, 1, 1)"
36,Cb Db Eb Fn Gn Ab Bb,B13578A,013468A,"(-1, -1, -1, 0, 0, -1, -1)"
37,Cb Db Eb Fn Gn Ab Bn,B13578B,0024689,"(-1, -1, -1, 0, 0, -1, 0)"
38,Cb Db Eb Fn Gn Ab B#,B135780,013579A,"(-1, -1, -1, 0, 0, -1, 1)"
39,Cb Db Eb Fn Gn An Bb,B13579A,012468A,"(-1, -1, -1, 0, 0, 0, -1)"
40,Cb Db Eb Fn Gn An Bn,B13579B,002468A,"(-1, -1, -1, 0, 0, 0, 0)"
41,Cb Db Eb Fn Gn An B#,B135790,013579B,"(-1, -1, -1, 0, 0, 0, 1)"
42,Cb Db Eb Fn Gn A# Bb,B1357AA,0013579,"(-1, -1, -1, 0, 0, 1, -1)"
43,Cb Db Eb Fn Gn A# Bn,B1357AB,0113579,"(-1, -1, -1, 0, 0, 1, 0)"
44,Cb Db Eb Fn Gn A# B#,B1357A0,023579B,"(-1, -1, -1, 0, 0, 1, 1)"
45,Cb Db Eb Fn G# Ab Bb,B13588A,0023579,"(-1, -1, -1, 0, 1, -1, -1)"
46,Cb Db Eb Fn G# Ab Bn,B13588B,0033579,"(-1, -1, -1, 0, 1, -1, 0)"
47,Cb Db Eb Fn G# Ab B#,B135880,003579A,"(-1, -1, -1, 0, 1, -1, 1)"
48,Cb Db Eb Fn G# An Bb,B13589A,0123579,"(-1, -1, -1, 0, 1, 0, -1)"
49,Cb Db Eb Fn G# An Bn,B13589B,0133579,"(-1, -1, -1, 0, 1, 0, 0)"
50,Cb Db Eb Fn G# An B#,B135890,014579B,"(-1, -1, -1, 0, 1, 0, 1)"
51,Cb Db Eb Fn G# A# Bb,B1358AA,0223579,"(-1, -1, -1, 0, 1, 1, -1)"
52,Cb Db Eb Fn G# A# Bn,B1358AB,0233579,"(-1, -1, -1, 0, 1, 1, 0)"
53,Cb Db Eb Fn G# A# B#,B1358A0,024579B,"(-1, -1, -1, 0, 1, 1, 1)"
54,Cb Db Eb F# Gb Ab Bb,B13668A,0024579,"(-1, -1, -1, 1, -1, -1, -1)"
55,Cb Db Eb F# Gb Ab Bn,B13668B,0025579,"(-1, -1, -1, 1, -1, -1, 0)"
56,Cb Db Eb F# Gb Ab B#,B136680,013588A,"(-1, -1, -1, 1, -1, -1, 1)"
57,Cb Db Eb F# Gb An Bb,B13669A,0034579,"(-1, -1, -1, 1, -1, 0, -1)"
58,Cb Db Eb F# Gb An Bn,B13669B,0035579,"(-1, -1, -1, 1, -1, 0, 0)"
59,Cb Db Eb F# Gb An B#,B136690,003679B,"(-1, -1, -1, 1, -1, 0, 1)"
60,Cb Db Eb F# Gb A# Bb,B1366AA,0013588,"(-1, -1, -1, 1, -1, 1, -1)"
61,Cb Db Eb F# Gb A# Bn,B1366AB,0035778,"(-1, -1, -1, 1, -1, 1, 0)"
62,Cb Db Eb F# Gb A# B#,B1366A0,003578A,"(-1, -1, -1, 1, -1, 1, 1)"
63,Cb Db Eb F# Gn Ab Bb,B13678A,0124579,"(-1, -1, -1, 1, 0, -1, -1)"
64,Cb Db Eb F# Gn Ab Bn,B13678B,0125579,"(-1, -1, -1, 1, 0, -1, 0)"
65,Cb Db Eb F# Gn Ab B#,B136780,012579A,"(-1, -1, -1, 1, 0, -1, 1)"
66,Cb Db Eb F# Gn An Bb,B13679A,0134579,"(-1, -1, -1, 1, 0, 0, -1)"
67,Cb Db Eb F# Gn An Bn,B13679B,0135579,"(-1, -1, -1, 1, 0, 0, 0)"
68,Cb Db Eb F# Gn An B#,B136790,013679B,"(-1, -1, -1, 1, 0, 0, 1)"
69,Cb Db Eb F# Gn A# Bb,B1367AA,0144579,"(-1, -1, -1, 1, 0, 1, -1)"
70,Cb Db Eb F# Gn A# Bn,B1367AB,0145579,"(-1, -1, -1, 1, 0, 1, 0)"
71,Cb Db Eb F# Gn A# B#,B1367A0,014679B,"(-1, -1, -1, 1, 0, 1, 1)"
72,Cb Db Eb F# G# Ab Bb,B13688A,0224579,"(-1, -1, -1, 1, 1, -1, -1)"
73,Cb Db Eb F# G# Ab Bn,B13688B,0225579,"(-1, -1, -1, 1, 1, -1, 0)"
74,Cb Db Eb F# G# Ab B#,B136880,002579A,"(-1, -1, -1, 1, 1, -1, 1)"
75,Cb Db Eb F# G# An Bb,B13689A,0234579,"(-1, -1, -1, 1, 1, 0, -1)"
76,Cb Db Eb F# G# An Bn,B13689B,0235579,"(-1, -1, -1, 1, 1, 0, 0)"
77,Cb Db Eb F# G# An B#,B136890,023679B,"(-1, -1, -1, 1, 1, 0, 1)"
78,Cb Db Eb F# G# A# Bb,B1368AA,0244579,"(-1, -1, -1, 1, 1, 1, -1)"
79,Cb Db Eb F# G# A# Bn,B1368AB,0244579,"(-1, -1, -1, 1, 1, 1, 0)"
80,Cb Db Eb F# G# A# B#,B1368A0,024579B,"(-1, -1, -1, 1, 1, 1, 1)"
81,Cb Db En Fb Gb Ab Bb,B14468A,0024679,"(-1, -1, 0, -1, -1, -1, -1)"
82,Cb Db En Fb Gb Ab Bn,B14468B,0024779,"(-1, -1, 0, -1, -1, -1, 0)"
83,Cb Db En Fb Gb Ab B#,B144680,013668A,"(-1, -1, 0, -1, -1, -1, 1)"
84,Cb Db En Fb Gb An Bb,B14469A,0025679,"(-1, -1, 0, -1, -1, 0, -1)"
85,Cb Db En Fb Gb An Bn,B14469B,0025779,"(-1, -1, 0, -1, -1, 0, 0)"
86,Cb Db En Fb Gb An B#,B144690,002589B,"(-1, -1, 0, -1, -1, 0, 1)"
87,Cb Db En Fb Gb A# Bb,B1446AA,0013668,"(-1, -1, 0, -1, -1, 1, -1)"
88,Cb Db En Fb Gb A# Bn,B1446AB,0113668,"(-1, -1, 0, -1, -1, 1, 0)"
89,Cb Db En Fb Gb A# B#,B1446A0,022578A,"(-1, -1, 0, -1, -1, 1, 1)"
90,Cb Db En Fb Gn Ab Bb,B14478A,0034679,"(-1, -1, 0, -1, 0, -1, -1)"
91,Cb Db En Fb Gn Ab Bn,B14478B,0034779,"(-1, -1, 0, -1, 0, -1, 0)"
92,Cb Db En Fb Gn Ab B#,B144780,013669A,"(-1, -1, 0, -1, 0, -1, 1)"
93,Cb Db En Fb Gn An Bb,B14479A,0035679,"(-1, -1, 0, -1, 0, 0, -1)"
94,Cb Db En Fb Gn An Bn,B14479B,0035779,"(-1, -1, 0, -1, 0, 0, 0)"
95,Cb Db En Fb Gn An B#,B144790,003589B,"(-1, -1, 0, -1, 0, 0, 1)"
96,Cb Db En Fb Gn A# Bb,B1447AA,0036679,"(-1, -1, 0, -1, 0, 1, -1)"
97,Cb Db En Fb Gn A# Bn,B1447AB,0036779,"(-1, -1, 0, -1, 0, 1, 0)"
98,Cb Db En Fb Gn A# B#,B1447A0,003689B,"(-1, -1, 0, -1, 0, 1, 1)"
99,Cb Db En Fb G# Ab Bb,B14488A,0023588,"(-1, -1, 0, -1, 1, -1, -1)"
100,Cb Db En Fb G# Ab Bn,B14488B,0033588,"(-1, -1, 0, -1, 1, -1, 0)"
101,Cb Db En Fb G# Ab B#,B144880,00356AA,"(-1, -1, 0, -1, 1, -1, 1)"
102,Cb Db En Fb G# An Bb,B14489A,0035678,"(-1, -1, 0, -1, 1, 0, -1)"
103,Cb Db En Fb G# An Bn,B14489B,0035578,"(-1, -1, 0, -1, 1, 0, 0)"
104,Cb Db En Fb G# An B#,B144890,003569A,"(-1, -1, 0, -1, 1, 0, 1)"
105,Cb Db En Fb G# A# Bb,B1448AA,0035668,"(-1, -1, 0, -1, 1, 1, -1)"
106,Cb Db En Fb G# A# Bn,B1448AB,0035568,"(-1, -1, 0, -1, 1, 1, 0)"
107,Cb Db En Fb G# A# B#,B1448A0,003568A,"(-1, -1, 0, -1, 1, 1, 1)"
108,Cb Db En Fn Gb Ab Bb,B14568A,0124679,"(-1, -1, 0, 0, -1, -1, -1)"
109,Cb Db En Fn Gb Ab Bn,B14568B,0124779,"(-1, -1, 0, 0, -1, -1, 0)"
110,Cb Db En Fn Gb Ab B#,B145680,013678A,"(-1, -1, 0, 0, -1, -1, 1)"
111,Cb Db En Fn Gb An Bb,B14569A,0125679,"(-1, -1, 0, 0, -1, 0, -1)"
112,Cb Db En Fn Gb An Bn,B14569B,0125779,"(-1, -1, 0, 0, -1, 0, 0)"
113,Cb Db En Fn Gb An B#,B145690,012589B,"(-1, -1, 0, 0, -1, 0, 1)"
114,Cb Db En Fn Gb A# Bb,B1456AA,0013678,"(-1, -1, 0, 0, -1, 1, -1)"
